sale_id,appointment_id,patient_id,branch_id,sale_date,product_id,product_name,category,quantity,unit_price_gbp,discount_pct,total_gbp,payment_method
SL00046,AP00053,PT0331,BR04,2024-01-03,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Card
SL00047,AP00055,PT0045,BR01,2024-01-03,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Card
SL00048,AP00055,PT0045,BR01,2024-01-03,PR06,Standard Frames,Frames,1,60.0,15,51.0,Card
SL00049,AP00056,PT0338,BR05,2024-01-03,PR12,Sunglasses,Sunglasses,1,95.0,5,90.25,Card
SL00050,AP00057,PT0142,BR05,2024-01-03,PR10,Eye Drops,Accessories,1,12.0,0,12.0,Card
SL00051,AP00057,PT0142,BR05,2024-01-03,PR04,Blue Light Lenses,Lenses,2,65.0,10,117.0,Finance
SL00052,AP00057,PT0142,BR05,2024-01-03,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Card
SL00053,AP00061,PT0792,BR04,2024-01-03,PR05,Designer Frames,Frames,1,180.0,5,171.0,Card
SL00054,AP00064,PT0062,BR02,2024-01-03,PR09,Contact Lenses Daily,Contacts,2,35.0,15,59.5,Card
SL00055,AP00066,PT0780,BR05,2024-01-03,PR03,Bifocal Lenses,Lenses,2,85.0,10,153.0,Card
SL00056,AP00066,PT0780,BR05,2024-01-03,PR03,Bifocal Lenses,Lenses,1,85.0,10,76.5,Cash
SL00057,AP00068,PT0134,BR02,2024-01-03,PR11,Lens Cleaning Kit,Accessories,2,8.0,0,16.0,Card
SL00058,AP00068,PT0134,BR02,2024-01-03,PR01,Single Vision Lenses,Lenses,1,45.0,10,40.5,Finance
SL00059,AP00069,PT0636,BR05,2024-01-03,PR09,Contact Lenses Daily,Contacts,2,35.0,5,66.5,Finance
SL00060,AP00070,PT0285,BR04,2024-01-03,PR06,Standard Frames,Frames,1,60.0,0,60.0,Cash
SL00061,AP00070,PT0285,BR04,2024-01-03,PR10,Eye Drops,Accessories,1,12.0,10,10.8,Finance
SL00062,AP00073,PT0488,BR05,2024-01-03,PR09,Contact Lenses Daily,Contacts,2,35.0,10,63.0,Card
SL00063,AP00074,PT0087,BR03,2024-01-03,PR05,Designer Frames,Frames,2,180.0,5,342.0,Card
SL00064,AP00074,PT0087,BR03,2024-01-03,PR11,Lens Cleaning Kit,Accessories,1,8.0,15,6.8,Card
SL00065,AP00075,PT0442,BR05,2024-01-03,PR01,Single Vision Lenses,Lenses,2,45.0,15,76.5,Finance
SL00066,AP00077,PT0199,BR03,2024-01-03,PR09,Contact Lenses Daily,Contacts,1,35.0,15,29.75,Card
SL00067,AP00077,PT0199,BR03,2024-01-03,PR12,Sunglasses,Sunglasses,1,95.0,10,85.5,Finance
SL00068,AP00078,PT0543,BR05,2024-01-03,PR09,Contact Lenses Daily,Contacts,2,35.0,0,70.0,Card
SL00069,AP00078,PT0543,BR05,2024-01-03,PR08,Contact Lenses Monthly,Contacts,2,25.0,5,47.5,Card
SL00070,AP00079,PT0662,BR02,2024-01-03,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Card
SL00071,AP00080,PT0037,BR05,2024-01-03,PR12,Sunglasses,Sunglasses,1,95.0,5,90.25,Finance
SL00072,AP00084,PT0723,BR05,2024-01-04,PR07,Kids Frames,Frames,1,40.0,0,40.0,Card
SL00073,AP00084,PT0723,BR05,2024-01-04,PR05,Designer Frames,Frames,1,180.0,0,180.0,Card
SL00074,AP00085,PT0516,BR05,2024-01-04,PR09,Contact Lenses Daily,Contacts,1,35.0,15,29.75,Card
SL00075,AP00086,PT0175,BR03,2024-01-04,PR09,Contact Lenses Daily,Contacts,2,35.0,0,70.0,Finance
SL00076,AP00088,PT0343,BR01,2024-01-04,PR11,Lens Cleaning Kit,Accessories,1,8.0,15,6.8,Finance
SL00077,AP00088,PT0343,BR01,2024-01-04,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Finance
SL00078,AP00090,PT0002,BR04,2024-01-04,PR09,Contact Lenses Daily,Contacts,1,35.0,0,35.0,Card
SL00079,AP00090,PT0002,BR04,2024-01-04,PR03,Bifocal Lenses,Lenses,2,85.0,0,170.0,Cash
SL00080,AP00093,PT0103,BR03,2024-01-04,PR06,Standard Frames,Frames,2,60.0,0,120.0,Card
SL00081,AP00093,PT0103,BR03,2024-01-04,PR12,Sunglasses,Sunglasses,2,95.0,15,161.5,Card
SL00082,AP00093,PT0103,BR03,2024-01-04,PR08,Contact Lenses Monthly,Contacts,1,25.0,0,25.0,Finance
SL00083,AP00094,PT0753,BR03,2024-01-04,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Card
SL00084,AP00099,PT0366,BR04,2024-01-04,PR04,Blue Light Lenses,Lenses,1,65.0,5,61.75,Finance
SL00085,AP00100,PT0369,BR02,2024-01-04,PR03,Bifocal Lenses,Lenses,1,85.0,15,72.25,Cash
SL00086,AP00104,PT0317,BR02,2024-01-04,PR02,Varifocal Lenses,Lenses,2,120.0,0,240.0,Card
SL00087,AP00105,PT0628,BR01,2024-01-04,PR05,Designer Frames,Frames,1,180.0,0,180.0,Finance
SL00088,AP00106,PT0296,BR01,2024-01-04,PR03,Bifocal Lenses,Lenses,1,85.0,10,76.5,Card
SL00089,AP00106,PT0296,BR01,2024-01-04,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Card
SL00090,AP00106,PT0296,BR01,2024-01-04,PR04,Blue Light Lenses,Lenses,1,65.0,10,58.5,Card
SL00091,AP00108,PT0681,BR02,2024-01-04,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Finance
SL00092,AP00109,PT0016,BR04,2024-01-04,PR08,Contact Lenses Monthly,Contacts,1,25.0,10,22.5,Finance
SL00093,AP00114,PT0225,BR01,2024-01-04,PR03,Bifocal Lenses,Lenses,1,85.0,0,85.0,Finance
SL00094,AP00115,PT0433,BR04,2024-01-04,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Finance
SL00095,AP00117,PT0593,BR02,2024-01-05,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Card
SL00096,AP00117,PT0593,BR02,2024-01-05,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Finance
SL00097,AP00118,PT0427,BR05,2024-01-05,PR05,Designer Frames,Frames,1,180.0,0,180.0,Card
SL00098,AP00119,PT0581,BR04,2024-01-05,PR02,Varifocal Lenses,Lenses,1,120.0,10,108.0,Cash
SL00099,AP00121,PT0702,BR03,2024-01-05,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Card
SL00100,AP00121,PT0702,BR03,2024-01-05,PR01,Single Vision Lenses,Lenses,1,45.0,0,45.0,Finance
SL00101,AP00122,PT0421,BR04,2024-01-05,PR02,Varifocal Lenses,Lenses,2,120.0,0,240.0,Card
SL00102,AP00123,PT0091,BR02,2024-01-05,PR06,Standard Frames,Frames,2,60.0,10,108.0,Finance
SL00103,AP00124,PT0595,BR05,2024-01-05,PR06,Standard Frames,Frames,2,60.0,0,120.0,Card
SL00104,AP00125,PT0301,BR01,2024-01-05,PR08,Contact Lenses Monthly,Contacts,2,25.0,5,47.5,Card
SL00105,AP00127,PT0472,BR01,2024-01-05,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Card
SL00106,AP00128,PT0342,BR05,2024-01-05,PR04,Blue Light Lenses,Lenses,1,65.0,0,65.0,Card
SL00107,AP00129,PT0708,BR03,2024-01-05,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Card
SL00108,AP00129,PT0708,BR03,2024-01-05,PR11,Lens Cleaning Kit,Accessories,2,8.0,0,16.0,Cash
SL00109,AP00130,PT0691,BR05,2024-01-05,PR08,Contact Lenses Monthly,Contacts,2,25.0,15,42.5,Card
SL00110,AP00133,PT0497,BR05,2024-01-05,PR04,Blue Light Lenses,Lenses,2,65.0,10,117.0,Cash
SL00111,AP00136,PT0401,BR01,2024-01-05,PR09,Contact Lenses Daily,Contacts,1,35.0,15,29.75,Card
SL00112,AP00136,PT0401,BR01,2024-01-05,PR11,Lens Cleaning Kit,Accessories,1,8.0,0,8.0,Card
SL00113,AP00137,PT0189,BR02,2024-01-05,PR08,Contact Lenses Monthly,Contacts,2,25.0,5,47.5,Card
SL00114,AP00140,PT0175,BR05,2024-01-05,PR02,Varifocal Lenses,Lenses,2,120.0,0,240.0,Card
SL00115,AP00141,PT0492,BR03,2024-01-05,PR02,Varifocal Lenses,Lenses,1,120.0,15,102.0,Card
SL00116,AP00142,PT0505,BR03,2024-01-05,PR04,Blue Light Lenses,Lenses,1,65.0,10,58.5,Card
SL00117,AP00142,PT0505,BR03,2024-01-05,PR08,Contact Lenses Monthly,Contacts,1,25.0,10,22.5,Card
SL00118,AP00143,PT0427,BR04,2024-01-06,PR05,Designer Frames,Frames,2,180.0,5,342.0,Finance
SL00119,AP00144,PT0578,BR04,2024-01-06,PR10,Eye Drops,Accessories,2,12.0,15,20.4,Card
SL00120,AP00144,PT0578,BR04,2024-01-06,PR04,Blue Light Lenses,Lenses,2,65.0,5,123.5,Cash
SL00121,AP00150,PT0286,BR03,2024-01-06,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Finance
SL00122,AP00150,PT0286,BR03,2024-01-06,PR06,Standard Frames,Frames,2,60.0,0,120.0,Card
SL00123,AP00151,PT0386,BR04,2024-01-06,PR05,Designer Frames,Frames,1,180.0,0,180.0,Finance
SL00124,AP00151,PT0386,BR04,2024-01-06,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Finance
SL00125,AP00151,PT0386,BR04,2024-01-06,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Card
SL00126,AP00154,PT0047,BR01,2024-01-06,PR08,Contact Lenses Monthly,Contacts,1,25.0,0,25.0,Finance
SL00127,AP00157,PT0108,BR02,2024-01-06,PR07,Kids Frames,Frames,1,40.0,5,38.0,Cash
SL00128,AP00157,PT0108,BR02,2024-01-06,PR04,Blue Light Lenses,Lenses,1,65.0,0,65.0,Card
SL00129,AP00157,PT0108,BR02,2024-01-06,PR06,Standard Frames,Frames,1,60.0,0,60.0,Card
SL00130,AP00158,PT0066,BR01,2024-01-06,PR05,Designer Frames,Frames,2,180.0,0,360.0,Cash
SL00131,AP00160,PT0329,BR01,2024-01-06,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Card
SL00132,AP00161,PT0570,BR02,2024-01-06,PR06,Standard Frames,Frames,1,60.0,10,54.0,Card
SL00133,AP00162,PT0231,BR02,2024-01-06,PR09,Contact Lenses Daily,Contacts,2,35.0,15,59.5,Card
SL00134,AP00163,PT0197,BR01,2024-01-06,PR11,Lens Cleaning Kit,Accessories,2,8.0,0,16.0,Card
SL00135,AP00167,PT0486,BR05,2024-01-06,PR09,Contact Lenses Daily,Contacts,2,35.0,15,59.5,Cash
SL00136,AP00168,PT0142,BR01,2024-01-06,PR05,Designer Frames,Frames,2,180.0,0,360.0,Card
SL00137,AP00168,PT0142,BR01,2024-01-06,PR07,Kids Frames,Frames,2,40.0,5,76.0,Card
SL00138,AP00169,PT0583,BR01,2024-01-06,PR11,Lens Cleaning Kit,Accessories,2,8.0,5,15.2,Card
SL00139,AP00170,PT0121,BR04,2024-01-06,PR09,Contact Lenses Daily,Contacts,2,35.0,0,70.0,Finance
SL00140,AP00171,PT0024,BR02,2024-01-06,PR01,Single Vision Lenses,Lenses,1,45.0,10,40.5,Cash
SL00141,AP00174,PT0513,BR03,2024-01-06,PR09,Contact Lenses Daily,Contacts,1,35.0,10,31.5,Card
SL00142,AP00174,PT0513,BR03,2024-01-06,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Cash
SL00143,AP00175,PT0270,BR01,2024-01-08,PR06,Standard Frames,Frames,2,60.0,10,108.0,Finance
SL00144,AP00175,PT0270,BR01,2024-01-08,PR08,Contact Lenses Monthly,Contacts,1,25.0,15,21.25,Cash
SL00145,AP00175,PT0270,BR01,2024-01-08,PR03,Bifocal Lenses,Lenses,1,85.0,0,85.0,Card
SL00146,AP00182,PT0234,BR01,2024-01-08,PR02,Varifocal Lenses,Lenses,2,120.0,5,228.0,Finance
SL00147,AP00185,PT0441,BR04,2024-01-08,PR10,Eye Drops,Accessories,2,12.0,10,21.6,Cash
SL00148,AP00187,PT0244,BR02,2024-01-08,PR04,Blue Light Lenses,Lenses,1,65.0,15,55.25,Card
SL00149,AP00189,PT0738,BR02,2024-01-08,PR03,Bifocal Lenses,Lenses,1,85.0,10,76.5,Finance
SL00150,AP00190,PT0450,BR02,2024-01-08,PR05,Designer Frames,Frames,2,180.0,5,342.0,Cash
SL00151,AP00191,PT0671,BR02,2024-01-08,PR11,Lens Cleaning Kit,Accessories,2,8.0,0,16.0,Cash
SL00152,AP00192,PT0491,BR01,2024-01-08,PR09,Contact Lenses Daily,Contacts,1,35.0,10,31.5,Finance
SL00153,AP00195,PT0670,BR02,2024-01-08,PR12,Sunglasses,Sunglasses,1,95.0,15,80.75,Cash
SL00154,AP00198,PT0237,BR03,2024-01-08,PR05,Designer Frames,Frames,1,180.0,5,171.0,Card
SL00155,AP00198,PT0237,BR03,2024-01-08,PR07,Kids Frames,Frames,2,40.0,0,80.0,Finance
SL00156,AP00200,PT0666,BR04,2024-01-08,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Card
SL00157,AP00201,PT0277,BR03,2024-01-08,PR02,Varifocal Lenses,Lenses,2,120.0,15,204.0,Card
SL00158,AP00202,PT0062,BR03,2024-01-08,PR03,Bifocal Lenses,Lenses,1,85.0,0,85.0,Finance
SL00159,AP00203,PT0392,BR04,2024-01-08,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Card
SL00160,AP00203,PT0392,BR04,2024-01-08,PR12,Sunglasses,Sunglasses,2,95.0,5,180.5,Card
SL00161,AP00210,PT0267,BR02,2024-01-09,PR08,Contact Lenses Monthly,Contacts,1,25.0,0,25.0,Finance
SL00162,AP00212,PT0088,BR02,2024-01-09,PR09,Contact Lenses Daily,Contacts,2,35.0,10,63.0,Card
SL00163,AP00212,PT0088,BR02,2024-01-09,PR02,Varifocal Lenses,Lenses,2,120.0,15,204.0,Finance
SL00164,AP00213,PT0405,BR01,2024-01-09,PR09,Contact Lenses Daily,Contacts,1,35.0,0,35.0,Cash
SL00165,AP00213,PT0405,BR01,2024-01-09,PR03,Bifocal Lenses,Lenses,1,85.0,0,85.0,Card
SL00166,AP00214,PT0669,BR05,2024-01-09,PR11,Lens Cleaning Kit,Accessories,1,8.0,10,7.2,Finance
SL00167,AP00215,PT0271,BR02,2024-01-09,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Card
SL00168,AP00216,PT0478,BR01,2024-01-09,PR11,Lens Cleaning Kit,Accessories,1,8.0,0,8.0,Card
SL00169,AP00216,PT0478,BR01,2024-01-09,PR06,Standard Frames,Frames,2,60.0,15,102.0,Cash
SL00170,AP00218,PT0625,BR05,2024-01-09,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Card
SL00171,AP00220,PT0646,BR02,2024-01-09,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Cash
SL00172,AP00221,PT0239,BR01,2024-01-09,PR03,Bifocal Lenses,Lenses,1,85.0,0,85.0,Card
SL00173,AP00221,PT0239,BR01,2024-01-09,PR07,Kids Frames,Frames,1,40.0,10,36.0,Card
SL00174,AP00222,PT0451,BR05,2024-01-09,PR06,Standard Frames,Frames,1,60.0,15,51.0,Card
SL00175,AP00222,PT0451,BR05,2024-01-09,PR02,Varifocal Lenses,Lenses,2,120.0,5,228.0,Card
SL00176,AP00223,PT0063,BR03,2024-01-09,PR07,Kids Frames,Frames,1,40.0,15,34.0,Card
SL00177,AP00225,PT0520,BR04,2024-01-09,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Card
SL00178,AP00225,PT0520,BR04,2024-01-09,PR10,Eye Drops,Accessories,2,12.0,10,21.6,Finance
SL00179,AP00227,PT0074,BR04,2024-01-09,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Finance
SL00180,AP00228,PT0622,BR03,2024-01-09,PR03,Bifocal Lenses,Lenses,2,85.0,5,161.5,Finance
SL00181,AP00230,PT0154,BR05,2024-01-10,PR11,Lens Cleaning Kit,Accessories,2,8.0,15,13.6,Finance
SL00182,AP00234,PT0579,BR05,2024-01-10,PR10,Eye Drops,Accessories,1,12.0,10,10.8,Cash
SL00183,AP00235,PT0552,BR01,2024-01-10,PR08,Contact Lenses Monthly,Contacts,1,25.0,5,23.75,Card
SL00184,AP00236,PT0622,BR04,2024-01-10,PR02,Varifocal Lenses,Lenses,2,120.0,5,228.0,Card
SL00185,AP00237,PT0276,BR02,2024-01-10,PR01,Single Vision Lenses,Lenses,1,45.0,0,45.0,Card
SL00186,AP00239,PT0467,BR03,2024-01-10,PR02,Varifocal Lenses,Lenses,2,120.0,15,204.0,Card
SL00187,AP00240,PT0456,BR04,2024-01-10,PR07,Kids Frames,Frames,1,40.0,0,40.0,Card
SL00188,AP00240,PT0456,BR04,2024-01-10,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Card
SL00189,AP00241,PT0079,BR03,2024-01-10,PR04,Blue Light Lenses,Lenses,2,65.0,5,123.5,Finance
SL00190,AP00241,PT0079,BR03,2024-01-10,PR05,Designer Frames,Frames,1,180.0,5,171.0,Card
SL00191,AP00241,PT0079,BR03,2024-01-10,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Card
SL00192,AP00243,PT0551,BR02,2024-01-10,PR07,Kids Frames,Frames,2,40.0,10,72.0,Card
SL00193,AP00245,PT0322,BR01,2024-01-10,PR06,Standard Frames,Frames,2,60.0,0,120.0,Card
SL00194,AP00245,PT0322,BR01,2024-01-10,PR06,Standard Frames,Frames,1,60.0,5,57.0,Card
SL00195,AP00247,PT0465,BR01,2024-01-10,PR02,Varifocal Lenses,Lenses,2,120.0,0,240.0,Card
SL00196,AP00248,PT0729,BR04,2024-01-10,PR10,Eye Drops,Accessories,1,12.0,10,10.8,Card
SL00197,AP00248,PT0729,BR04,2024-01-10,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Card
SL00198,AP00251,PT0131,BR04,2024-01-10,PR04,Blue Light Lenses,Lenses,1,65.0,10,58.5,Card
SL00199,AP00251,PT0131,BR04,2024-01-10,PR05,Designer Frames,Frames,1,180.0,0,180.0,Finance
SL00200,AP00251,PT0131,BR04,2024-01-10,PR06,Standard Frames,Frames,2,60.0,0,120.0,Finance
SL00201,AP00255,PT0759,BR04,2024-01-10,PR06,Standard Frames,Frames,1,60.0,0,60.0,Cash
SL00202,AP00260,PT0305,BR04,2024-01-10,PR06,Standard Frames,Frames,1,60.0,15,51.0,Card
SL00203,AP00260,PT0305,BR04,2024-01-10,PR07,Kids Frames,Frames,1,40.0,5,38.0,Card
SL00204,AP00261,PT0594,BR05,2024-01-10,PR02,Varifocal Lenses,Lenses,1,120.0,5,114.0,Card
SL00205,AP00261,PT0594,BR05,2024-01-10,PR04,Blue Light Lenses,Lenses,2,65.0,15,110.5,Cash
SL00206,AP00261,PT0594,BR05,2024-01-10,PR02,Varifocal Lenses,Lenses,2,120.0,5,228.0,Card
SL00207,AP00262,PT0327,BR02,2024-01-11,PR04,Blue Light Lenses,Lenses,1,65.0,5,61.75,Cash
SL00208,AP00262,PT0327,BR02,2024-01-11,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Card
SL00209,AP00264,PT0102,BR03,2024-01-11,PR05,Designer Frames,Frames,2,180.0,0,360.0,Card
SL00210,AP00265,PT0499,BR04,2024-01-11,PR09,Contact Lenses Daily,Contacts,2,35.0,15,59.5,Card
SL00211,AP00267,PT0099,BR02,2024-01-11,PR07,Kids Frames,Frames,1,40.0,0,40.0,Card
SL00212,AP00272,PT0113,BR01,2024-01-11,PR05,Designer Frames,Frames,1,180.0,0,180.0,Card
SL00213,AP00274,PT0363,BR01,2024-01-11,PR02,Varifocal Lenses,Lenses,2,120.0,5,228.0,Card
SL00214,AP00274,PT0363,BR01,2024-01-11,PR08,Contact Lenses Monthly,Contacts,2,25.0,0,50.0,Card
SL00215,AP00275,PT0335,BR02,2024-01-11,PR01,Single Vision Lenses,Lenses,1,45.0,15,38.25,Card
SL00216,AP00275,PT0335,BR02,2024-01-11,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Cash
SL00217,AP00276,PT0689,BR01,2024-01-11,PR03,Bifocal Lenses,Lenses,2,85.0,10,153.0,Card
SL00218,AP00276,PT0689,BR01,2024-01-11,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Card
SL00219,AP00279,PT0650,BR01,2024-01-11,PR10,Eye Drops,Accessories,2,12.0,0,24.0,Card
SL00220,AP00279,PT0650,BR01,2024-01-11,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Finance
SL00221,AP00280,PT0690,BR02,2024-01-11,PR09,Contact Lenses Daily,Contacts,2,35.0,0,70.0,Card
SL00222,AP00281,PT0752,BR04,2024-01-11,PR08,Contact Lenses Monthly,Contacts,1,25.0,15,21.25,Card
SL00223,AP00281,PT0752,BR04,2024-01-11,PR09,Contact Lenses Daily,Contacts,1,35.0,0,35.0,Card
SL00224,AP00281,PT0752,BR04,2024-01-11,PR01,Single Vision Lenses,Lenses,1,45.0,5,42.75,Card
SL00225,AP00282,PT0529,BR02,2024-01-11,PR08,Contact Lenses Monthly,Contacts,2,25.0,15,42.5,Card
SL00226,AP00282,PT0529,BR02,2024-01-11,PR10,Eye Drops,Accessories,1,12.0,5,11.4,Finance
SL00227,AP00282,PT0529,BR02,2024-01-11,PR11,Lens Cleaning Kit,Accessories,1,8.0,0,8.0,Finance
SL00228,AP00283,PT0626,BR02,2024-01-11,PR09,Contact Lenses Daily,Contacts,1,35.0,15,29.75,Card
SL00229,AP00284,PT0629,BR04,2024-01-11,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Card
SL00230,AP00285,PT0496,BR05,2024-01-11,PR06,Standard Frames,Frames,2,60.0,0,120.0,Cash
SL00231,AP00285,PT0496,BR05,2024-01-11,PR10,Eye Drops,Accessories,2,12.0,5,22.8,Cash
SL00232,AP00286,PT0238,BR03,2024-01-11,PR03,Bifocal Lenses,Lenses,1,85.0,10,76.5,Cash
